"Energiedragers";"Perioden";"Energieaanbod/Winning (PJ)"
"Totaal energiedragers";"1970";1225
"Totaal energiedragers";"1971";1584
"Totaal energiedragers";"1972";2023
"Totaal energiedragers";"1973";2401
"Totaal energiedragers";"1974";2819
"Totaal energiedragers";"1975";3023
"Totaal energiedragers";"1976";3232
"Totaal energiedragers";"1977";3245
"Totaal energiedragers";"1978";2989
"Totaal energiedragers";"1979";3126
"Totaal energiedragers";"1980";3032
"Totaal energiedragers";"1981";2821
"Totaal energiedragers";"1982";2445
"Totaal energiedragers";"1983";2634
"Totaal energiedragers";"1984";2690
"Totaal energiedragers";"1985";2834
"Totaal energiedragers";"1986";2654
"Totaal energiedragers";"1987";2639
"Totaal energiedragers";"1988";2350
"Totaal energiedragers";"1989";2522
"Totaal energiedragers";"1990";2542,5
"Totaal energiedragers";"1991";2832,2
"Totaal energiedragers";"1992";2839,4
"Totaal energiedragers";"1993";2892,3
"Totaal energiedragers";"1994";2802,8
"Totaal energiedragers";"1995";2815,5
"Totaal energiedragers";"1996";3147,2
"Totaal energiedragers";"1997";2800,2
"Totaal energiedragers";"1998";2689
"Totaal energiedragers";"1999";2515,9
"Totaal energiedragers";"2000";2457,2
"Totaal energiedragers";"2001";2574,3
"Totaal energiedragers";"2002";2575,2
"Totaal energiedragers";"2003";2477,9
"Totaal energiedragers";"2004";2863,8
"Totaal energiedragers";"2005";2622,7
"Totaal energiedragers";"2006";2584,2
"Totaal energiedragers";"2007";2532,6
"Totaal energiedragers";"2008";2846
"Totaal energiedragers";"2009";2646,4
"Totaal energiedragers";"2010";2990,3
"Totaal energiedragers";"2011";2794
"Totaal energiedragers";"2012";2788,1
"Totaal energiedragers";"2013";2943,2
"Totaal energiedragers";"2014";2554,9
"Totaal energiedragers";"2015";2036,2
"Totaal energiedragers";"2016";1958,5
"Totaal energiedragers";"2017**";1776
