"Energiedragers","Perioden","Winning","Invoer","Uitvoer","Energieverbruik"
"Totaal energiedragers","1970",1225,,,2016
"Totaal energiedragers","1971",1584,,,2144
"Totaal energiedragers","1972",2023,,,2451
"Totaal energiedragers","1973",2401,,,2617
"Totaal energiedragers","1974",2819,,,2579
"Totaal energiedragers","1975",3023,4681,4754,2482
"Totaal energiedragers","1976",3232,5316,5277,2718
"Totaal energiedragers","1977",3245,5047,5073,2695
"Totaal energiedragers","1978",2989,5040,4745,2794
"Totaal energiedragers","1979",3126,5967,5621,2924
"Totaal energiedragers","1980",3032,5855,5689,2723
"Totaal energiedragers","1981",2821,5243,5211,2575
"Totaal energiedragers","1982",2445,5211,4948,2381
"Totaal energiedragers","1983",2634,4951,4850,2422
"Totaal energiedragers","1984",2690,5078,4887,2511
"Totaal energiedragers","1985",2834,4930,4751,2558
"Totaal energiedragers","1986",2654,5335,4822,2639
"Totaal energiedragers","1987",2639,5138,4648,2703
"Totaal energiedragers","1988",2350,5533,4719,2682
"Totaal energiedragers","1989",2522,5824,5102,2691
"Totaal energiedragers","1990",2542.5,5867.2,5070.8,2856
"Totaal energiedragers","1991",2832.2,6153.6,5504.1,2961.5
"Totaal energiedragers","1992",2839.4,6046.6,5388.1,2943.2
"Totaal energiedragers","1993",2892.3,6158.1,5547.5,3008.8
"Totaal energiedragers","1994",2802.8,6102.6,5323.6,3014.4
"Totaal energiedragers","1995",2815.5,6000.7,5249.9,3094.1
"Totaal energiedragers","1996",3147.2,6386,5689.6,3275.8
"Totaal energiedragers","1997",2800.2,6655.2,5651.3,3162
"Totaal energiedragers","1998",2689,6679,5522.4,3171.3
"Totaal energiedragers","1999",2515.9,6572.5,5451.1,3123.5
"Totaal energiedragers","2000",2457.2,7172.1,5686.4,3145.5
"Totaal energiedragers","2001",2574.3,7341.3,5961.4,3220.1
"Totaal energiedragers","2002",2575.2,7589.2,6200.7,3243.1
"Totaal energiedragers","2003",2477.9,7680.9,6117.4,3355.6
"Totaal energiedragers","2004",2863.8,7937.9,6586.3,3394.5
"Totaal energiedragers","2005",2622.7,8320.9,6722.8,3366.2
"Totaal energiedragers","2006",2584.2,8597.8,6962.7,3309.5
"Totaal energiedragers","2007",2532.6,8433.1,6831.2,3306.7
"Totaal energiedragers","2008",2846,8665,7286.5,3276.9
"Totaal energiedragers","2009",2646.4,8655.4,7305.4,3243.4
"Totaal energiedragers","2010",2990.3,9148.5,7955.6,3474.7
"Totaal energiedragers","2011",2794,8807.3,7690.2,3239.2
"Totaal energiedragers","2012",2788.1,9458.4,8185,3250.9
"Totaal energiedragers","2013",2943.2,9110.6,8206.4,3183.7
"Totaal energiedragers","2014",2554.9,9333.7,8101.5,3039.7
"Totaal energiedragers","2015",2036.2,10272.2,8445.1,3107.8
"Totaal energiedragers","2016",1958.5,10298,8597.4,3139.2
"Totaal energiedragers","2017",1776,10472.6,8498.4,3150.6
