"Energiedragers","Perioden","Aanbod","Winning","Invoer","Uitvoer","Invoersaldo","Bunkering","Voorraadmutatie","Statistische verschillen (PJ)","Energieverbruik","Inzet","WKK-omzetting","Andere-omzetting","Productie-totaal","Energieomzetting/Productie energie uit omzetting/Productie elektriciteit/WKK-omzetting (PJ)","Energieomzetting/Productie energie uit omzetting/Productie andere omzetting (PJ)","Energieomzetting/Saldo inzet-productie energie/Totaal saldo energieomzetting (PJ)","Energieomzetting/Saldo inzet-productie energie/Saldo elektriciteit/WKK-omzetting (PJ)","Energieomzetting/Saldo inzet-productie energie/Saldo andere omzetting (PJ)","Eigen verbruik energiesector/Totaal (PJ)","Eigen verbruik energiesector/Olie- en gaswinning (PJ)","Eigen verbruik energiesector/Cokesfabrieken (PJ)","Eigen verbruik energiesector/Raffinaderijen (PJ)","Eigen verbruik energiesector/Totaal energiebedrijven (PJ)","Verliezen bij distributie (PJ)","Finaal verbruik/Totaal finaal verbruik (PJ)","Finaal verbruik/Finaal energieverbruik/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/IJzer- en staalindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Chemie en farmaceutische industrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Non-ferrometalenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Bouwmaterialenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Transportmiddelenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Metaalproducten en machine-industrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Delfstoffenwinning (geen olie en gas) (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Voedings- en genotmiddelenindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Papier- en grafische industrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Houtindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Bouwnijverheid (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Textiel-, kleding- en lederindustrie (PJ)","Finaal verbruik/Finaal energieverbruik/Nijverheid (exclusief de energiesector)/Onbekend (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Binnenlandse luchtvaart (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Wegverkeer (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Railverkeer (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Pijpleidingen (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Binnenlandse scheepvaart (PJ)","Finaal verbruik/Finaal energieverbruik/Vervoer/Onbekend (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Totaal (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Diensten, afval, water en reparatie (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Woningen (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Landbouw (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Visserij (PJ)","Finaal verbruik/Finaal energieverbruik/Overige afnemers/Onbekend (PJ)","Finaal verbruik/Niet-energetisch gebruik/Totaal (PJ)","Finaal verbruik/Niet-energetisch gebruik/Nijverheid (exclusief de energiesector) (PJ)","Finaal verbruik/Niet-energetisch gebruik/Waarvan chemie en petrochemie (PJ)","Finaal verbruik/Niet-energetisch gebruik/Vervoer (PJ)","Finaal verbruik/Niet-energetisch gebruik/Overige afnemers (PJ)"
"Totaal energiedragers","1978","  2793.0","  2989.0","  5040.0","  4745.0","   295.0","   534.0","    44.0","       .","  2794.0","       .","   713.0","       .","       .","   338.0","       .","   366.0","   374.0","    -8.0","       .","       .","       .","       .","       .","       .","  2427.0","  1965.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   462.0","       .","       .","       .","       ."
"Totaal energiedragers","1979","  2924.0","  3126.0","  5967.0","  5621.0","   346.0","   464.0","   -84.0","       .","  2924.0","       .","   748.0","       .","       .","   357.0","       .","   391.0","   391.0","       .","       .","       .","       .","       .","       .","       .","  2533.0","  2065.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   468.0","       .","       .","       .","       ."
"Totaal energiedragers","1980","  2723.0","  3032.0","  5855.0","  5689.0","   166.0","   445.0","   -31.0","       .","  2723.0","       .","   724.0","       .","       .","   340.0","       .","   391.0","   384.0","     7.0","       .","       .","       .","       .","       .","       .","  2331.0","  1922.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   409.0","       .","       .","       .","       ."
"Totaal energiedragers","1981","  2575.0","  2821.0","  5243.0","  5211.0","    32.0","   421.0","   143.0","       .","  2575.0","       .","   721.0","       .","       .","   347.0","       .","   382.0","   375.0","     7.0","       .","       .","       .","       .","       .","       .","  2193.0","  1846.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   347.0","       .","       .","       .","       ."
"Totaal energiedragers","1982","  2381.0","  2445.0","  5211.0","  4948.0","   263.0","   409.0","    83.0","       .","  2381.0","       .","   682.0","       .","       .","   345.0","       .","   367.0","   338.0","    29.0","       .","       .","       .","       .","       .","       .","  2015.0","  1749.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   266.0","       .","       .","       .","       ."
"Totaal energiedragers","1983","  2422.0","  2634.0","  4951.0","  4850.0","   101.0","   387.0","    74.0","       .","  2422.0","       .","   669.0","       .","       .","   340.0","       .","   380.0","   329.0","    51.0","       .","       .","       .","       .","       .","       .","  2042.0","  1754.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   288.0","       .","       .","       .","       ."
"Totaal energiedragers","1984","  2511.0","  2690.0","  5078.0","  4887.0","   191.0","   368.0","    -1.0","       .","  2511.0","       .","   690.0","       .","       .","   353.0","       .","   395.0","   337.0","    58.0","       .","       .","       .","       .","       .","       .","  2116.0","  1783.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   333.0","       .","       .","       .","       ."
"Totaal energiedragers","1985","  2558.0","  2834.0","  4930.0","  4751.0","   179.0","   419.0","   -36.0","       .","  2558.0","       .","   690.0","       .","       .","   351.0","       .","   384.0","   340.0","    44.0","       .","       .","       .","       .","       .","       .","  2175.0","  1838.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   337.0","       .","       .","       .","       ."
"Totaal energiedragers","1986","  2640.0","  2654.0","  5335.0","  4822.0","   513.0","   463.0","   -65.0","       .","  2639.0","       .","   731.0","       .","       .","   365.0","       .","   411.0","   367.0","    44.0","       .","       .","       .","       .","       .","       .","  2228.0","  1827.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   401.0","       .","       .","       .","       ."
"Totaal energiedragers","1987","  2703.0","  2639.0","  5138.0","  4648.0","   490.0","   459.0","    33.0","       .","  2703.0","       .","   744.0","       .","       .","   380.0","       .","   405.0","   364.0","    41.0","       .","       .","       .","       .","       .","       .","  2299.0","  1891.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   408.0","       .","       .","       .","       ."
"Totaal energiedragers","1988","  2682.0","  2350.0","  5533.0","  4719.0","   814.0","   509.0","    26.0","       .","  2682.0","       .","   748.0","       .","       .","   390.0","       .","   409.0","   358.0","    51.0","       .","       .","       .","       .","       .","       .","  2273.0","  1825.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   448.0","       .","       .","       .","       ."
"Totaal energiedragers","1989","  2691.0","  2522.0","  5824.0","  5102.0","   722.0","   498.0","   -55.0","       .","  2691.0","       .","   769.0","       .","       .","   405.0","       .","   416.0","   364.0","    52.0","       .","       .","       .","       .","       .","       .","  2276.0","  1870.0","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","       .","","       .","","       .","       .","       .","       .","       .","       .","   406.0","       .","       .","       .","       ."
"Totaal energiedragers","1990","  2829.0","  2542.5","  5867.2","  5070.8","   796.0","   520.2","    10.1","   -27.0","  2856.0","  3333.4","   755.9","  2577.5","  2874.1","   400.4","  2473.8","   459.3","   355.5","   103.8","   177.7","    24.4","    10.0","   141.8","     1.4","    14.8","  2204.2","  1788.7","   584.2","    39.2","   290.9","    23.8","    38.8","     5.8","    29.6","     1.3","    79.3","    33.1","     2.9","    25.0","     6.4","     8.1","   376.9","     1.2","   360.4","     5.8","","     9.5","","   827.6","   213.5","   435.6","   157.4","    15.9","     5.2","   415.5","   411.1","   372.3","     2.5","     1.9"
"Totaal energiedragers","1991","  2938.6","  2832.2","  6153.6","  5504.1","   649.0","   534.8","    -8.3","   -22.9","  2961.5","  3485.4","   779.3","  2706.1","  3033.6","   419.6","  2614.0","   451.9","   359.7","    92.1","   187.7","    27.5","    10.9","   149.3","       .","    16.7","  2305.3","  1894.8","   582.7","    39.0","   282.6","    22.7","    39.9","     5.9","    28.9","     1.4","    80.1","    34.9","     3.1","    25.9","     7.4","    10.9","   383.5","     1.2","   366.0","     6.1","","    10.1","","   928.7","   239.5","   492.0","   176.4","    15.5","     5.3","   410.4","   406.1","   369.0","     2.3","     2.1"
"Totaal energiedragers","1992","  2916.2","  2839.4","  6046.6","  5388.1","   658.0","   546.0","   -35.7","   -27.0","  2943.2","  3561.2","   812.7","  2748.5","  3091.2","   437.8","  2653.3","   470.0","   374.8","    95.2","   180.0","    30.4","    10.9","   138.7","       .","    17.1","  2276.1","  1865.1","   578.6","    39.7","   273.1","    22.1","    41.6","     5.8","    27.2","     1.2","    85.7","    34.2","     3.2","    24.7","     6.9","    13.1","   403.3","     1.2","   386.3","     6.3","","     9.6","","   883.2","   228.6","   461.1","   173.3","    15.0","     5.1","   411.0","   406.5","   369.8","     2.5","     2.0"
"Totaal energiedragers","1993","  2976.6","  2892.3","  6158.1","  5547.5","   611.0","   534.5","     8.2","   -32.2","  3008.8","  3598.0","   816.1","  2782.0","  3114.9","   436.1","  2678.8","   483.1","   379.9","   103.2","   186.7","    27.8","    10.8","   145.9","     2.2","    18.1","  2320.9","  1925.6","   583.9","    40.4","   271.3","    21.9","    38.7","     5.9","    28.4","     1.2","    89.6","    35.9","     2.9","    27.6","     8.3","    11.9","   415.0","     1.1","   397.8","     6.4","","     9.6","","   926.7","   242.2","   482.8","   181.5","    15.1","     5.1","   395.4","   390.8","   353.6","     1.8","     2.7"
"Totaal energiedragers","1994","  2991.1","  2802.8","  6102.6","  5323.6","   779.0","   551.1","   -39.6","   -23.3","  3014.4","  3671.4","   839.4","  2832.0","  3179.7","   458.8","  2721.0","   491.6","   380.6","   111.0","   188.0","    25.0","    10.8","   149.9","     2.3","    18.9","  2316.0","  1886.3","   594.8","    40.4","   283.9","    21.8","    38.0","     5.9","    30.2","     1.7","    89.4","    35.2","     2.9","    26.3","     8.2","    11.0","   406.7","     1.2","   389.3","     6.5","","     9.7","","   884.8","   232.1","   459.2","   173.3","    15.6","     4.7","   429.7","   425.0","   387.3","     2.6","     2.1"
"Totaal energiedragers","1995","  3085.1","  2815.5","  6000.7","  5249.9","   751.0","   557.8","    76.6","    -9.0","  3094.1","  3884.8","   855.2","  3029.6","  3395.9","   473.0","  2922.9","   488.9","   382.2","   106.7","   182.9","    24.7","    10.8","   146.2","     1.2","    19.6","  2402.8","  1956.5","   612.6","    44.5","   300.5","    22.2","    33.6","     5.6","    27.9","     2.0","    88.5","    36.1","     3.9","    25.8","     9.0","    13.0","   411.7","     1.1","   394.2","     6.6","","     9.8","","   932.1","   240.4","   493.6","   175.5","    17.7","     4.9","   446.3","   441.1","   403.8","     2.9","     2.3"
"Totaal energiedragers","1996","  3255.3","  3147.2","  6386.0","  5689.6","   696.0","   583.5","    -4.8","   -20.5","  3275.8","  4013.1","   894.2","  3118.9","  3512.5","   505.3","  3007.2","   500.6","   388.9","   111.7","   185.9","    29.7","    10.5","   144.6","     1.1","    21.0","  2568.3","  2123.5","   639.8","    44.2","   308.3","    22.5","    35.6","     5.7","    29.4","     2.0","    97.5","    39.0","     3.9","    29.9","     8.2","    13.6","   429.0","     1.2","   410.6","     7.0","","    10.3","","  1054.7","   273.9","   564.8","   194.0","    17.1","     4.9","   444.8","   439.8","   404.5","     2.7","     2.3"
"Totaal energiedragers","1997","  3148.6","  2800.2","  6655.2","  5651.3","  1004.0","   627.7","   -27.7","   -13.4","  3162.0","  3981.5","   884.1","  3097.4","  3480.3","   506.4","  2973.9","   501.2","   377.7","   123.5","   178.2","    31.2","    10.4","   135.6","     1.1","    20.3","  2462.2","  1995.9","   626.2","    43.9","   294.5","    23.3","    36.2","     5.9","    29.0","     4.3","    92.9","    40.5","     3.9","    28.9","     9.3","    13.5","   428.9","     1.1","   410.9","     7.1","","     9.7","","   940.8","   258.8","   488.3","   172.1","    17.7","     3.9","   466.4","   461.0","   426.4","     2.8","     2.5"
"Totaal energiedragers","1998","  3167.3","  2689.0","  6679.0","  5522.4","  1157.0","   634.6","   -43.7","    -4.0","  3171.3","  4096.0","   922.5","  3173.6","  3574.6","   532.4","  3042.2","   521.4","   390.1","   131.3","   179.6","    37.0","    10.4","   130.8","     1.4","    21.6","  2448.7","  1993.6","   627.8","    41.4","   294.4","    25.2","    34.7","     5.7","    29.5","     6.8","    94.2","    39.9","     4.2","    29.0","     9.9","    13.1","   438.8","     1.0","   420.9","     7.3","","     9.6","","   926.9","   263.4","   470.1","   171.9","    17.7","     3.7","   455.1","   449.5","   417.2","     2.9","     2.7"
"Totaal energiedragers","1999","  3108.0","  2515.9","  6572.5","  5451.1","  1121.0","   660.3","   130.9","   -15.5","  3123.5","  3904.6","   883.1","  3021.5","  3412.6","   515.5","  2897.2","   492.0","   367.7","   124.3","   165.9","    32.9","     8.6","   123.0","     1.4","    21.5","  2444.1","  1986.7","   644.4","    38.5","   306.3","    25.6","    35.4","     5.4","    32.3","     7.1","    98.6","    39.9","     4.2","    29.1","     8.1","    14.0","   445.9","     0.8","   427.7","     7.2","","    10.2","","   896.4","   252.6","   452.4","   168.8","    18.2","     4.4","   457.5","   451.9","   417.0","     3.1","     2.4"
