"Energiedragers","Perioden","Energieaanbod/Totaal aanbod (TPES) (PJ)","Winning","Invoer","Uitvoer","Energieverbruik"
"Totaal energiedragers","1970","  2016.0","  1225.0","       0.0","       0.0","  2016.0"
"Totaal energiedragers","1971","  2144.0","  1584.0","       0.0","       0.0","  2144.0"
"Totaal energiedragers","1972","  2451.0","  2023.0","       0.0","       0.0","  2451.0"
"Totaal energiedragers","1973","  2617.0","  2401.0","       0.0","       0.0","  2617.0"
"Totaal energiedragers","1974","  2579.0","  2819.0","       0.0","       0.0","  2579.0"
"Totaal energiedragers","1975","  2482.0","  3023.0","  4681.0","  4754.0","  2482.0"
"Totaal energiedragers","1976","  2718.0","  3232.0","  5316.0","  5277.0","  2718.0"
"Totaal energiedragers","1977","  2696.0","  3245.0","  5047.0","  5073.0","  2695.0"
"Totaal energiedragers","1978","  2793.0","  2989.0","  5040.0","  4745.0","  2794.0"
"Totaal energiedragers","1979","  2924.0","  3126.0","  5967.0","  5621.0","  2924.0"
"Totaal energiedragers","1980","  2723.0","  3032.0","  5855.0","  5689.0","  2723.0"
"Totaal energiedragers","1981","  2575.0","  2821.0","  5243.0","  5211.0","  2575.0"
"Totaal energiedragers","1982","  2381.0","  2445.0","  5211.0","  4948.0","  2381.0"
"Totaal energiedragers","1983","  2422.0","  2634.0","  4951.0","  4850.0","  2422.0"
"Totaal energiedragers","1984","  2511.0","  2690.0","  5078.0","  4887.0","  2511.0"
"Totaal energiedragers","1985","  2558.0","  2834.0","  4930.0","  4751.0","  2558.0"
"Totaal energiedragers","1986","  2640.0","  2654.0","  5335.0","  4822.0","  2639.0"
"Totaal energiedragers","1987","  2703.0","  2639.0","  5138.0","  4648.0","  2703.0"
"Totaal energiedragers","1988","  2682.0","  2350.0","  5533.0","  4719.0","  2682.0"
"Totaal energiedragers","1989","  2691.0","  2522.0","  5824.0","  5102.0","  2691.0"
"Totaal energiedragers","1990","  2829.0","  2542.5","  5867.2","  5070.8","  2856.0"
"Totaal energiedragers","1991","  2938.6","  2832.2","  6153.6","  5504.1","  2961.5"
"Totaal energiedragers","1992","  2916.2","  2839.4","  6046.6","  5388.1","  2943.2"
"Totaal energiedragers","1993","  2976.6","  2892.3","  6158.1","  5547.5","  3008.8"
"Totaal energiedragers","1994","  2991.1","  2802.8","  6102.6","  5323.6","  3014.4"
"Totaal energiedragers","1995","  3085.1","  2815.5","  6000.7","  5249.9","  3094.1"
"Totaal energiedragers","1996","  3255.3","  3147.2","  6386.0","  5689.6","  3275.8"
"Totaal energiedragers","1997","  3148.6","  2800.2","  6655.2","  5651.3","  3162.0"
"Totaal energiedragers","1998","  3167.3","  2689.0","  6679.0","  5522.4","  3171.3"
"Totaal energiedragers","1999","  3108.0","  2515.9","  6572.5","  5451.1","  3123.5"
"Totaal energiedragers","2000","  3146.8","  2457.2","  7172.1","  5686.4","  3145.5"
"Totaal energiedragers","2001","  3231.4","  2574.3","  7341.3","  5961.4","  3220.1"
"Totaal energiedragers","2002","  3265.1","  2575.2","  7589.2","  6200.7","  3243.1"
"Totaal energiedragers","2003","  3374.4","  2477.9","  7680.9","  6117.4","  3355.6"
"Totaal energiedragers","2004","  3410.9","  2863.8","  7937.9","  6586.3","  3394.5"
"Totaal energiedragers","2005","  3363.3","  2622.7","  8320.9","  6722.8","  3366.2"
"Totaal energiedragers","2006","  3324.2","  2584.2","  8597.8","  6962.7","  3309.5"
"Totaal energiedragers","2007","  3316.5","  2532.6","  8433.1","  6831.2","  3306.7"
"Totaal energiedragers","2008","  3283.9","  2846.0","  8665.0","  7286.5","  3276.9"
"Totaal energiedragers","2009","  3241.4","  2646.4","  8655.4","  7305.4","  3243.4"
"Totaal energiedragers","2010","  3472.6","  2990.3","  9148.5","  7955.6","  3474.7"
"Totaal energiedragers","2011","  3237.0","  2794.0","  8807.3","  7690.2","  3239.2"
"Totaal energiedragers","2012","  3251.7","  2788.1","  9458.4","  8185.0","  3250.9"
"Totaal energiedragers","2013","  3166.2","  2943.2","  9110.6","  8206.4","  3183.7"
"Totaal energiedragers","2014","  3011.0","  2554.9","  9333.7","  8101.5","  3039.7"
"Totaal energiedragers","2015","  3066.2","  2036.2"," 10272.2","  8445.1","  3107.8"
"Totaal energiedragers","2016","  3123.7","  1958.5"," 10298.0","  8597.4","  3139.2"
"Totaal energiedragers","2017**","  3137.0","  1776.0"," 10472.6","  8498.4","  3150.6"
"Totaal kool en koolproducten","1946","   305.0","   241.0","    94.0","    13.0","   305.0"
"Totaal kool en koolproducten","1947","   367.0","   290.0","   115.0","    16.0","   367.0"
"Totaal kool en koolproducten","1948","   392.0","   310.0","   112.0","    28.0","   392.0"
"Totaal kool en koolproducten","1949","   417.0","   327.0","   131.0","    29.0","   417.0"
"Totaal kool en koolproducten","1950","   456.0","   341.0","   153.0","    33.0","   456.0"
"Totaal kool en koolproducten","1951","   474.0","   348.0","   175.0","    36.0","   474.0"
"Totaal kool en koolproducten","1952","   462.0","   350.0","   180.0","    42.0","   462.0"
"Totaal kool en koolproducten","1953","   473.0","   344.0","   178.0","    48.0","   473.0"
"Totaal kool en koolproducten","1954","   485.0","   336.0","   236.0","    80.0","   485.0"
"Totaal kool en koolproducten","1955","   493.0","   333.0","   263.0","    90.0","   493.0"
"Totaal kool en koolproducten","1956","   513.0","   332.0","   288.0","    95.0","   513.0"
"Totaal kool en koolproducten","1957","   474.0","   320.0","   289.0","    99.0","   474.0"
"Totaal kool en koolproducten","1958","   450.0","   333.0","   230.0","    98.0","   450.0"
"Totaal kool en koolproducten","1959","   426.0","   334.0","   214.0","   126.0","   426.0"
"Totaal kool en koolproducten","1960","   444.0","   343.0","   231.0","   147.0","   444.0"
"Totaal kool en koolproducten","1961","   425.0","   346.0","   230.0","   158.0","   425.0"
"Totaal kool en koolproducten","1962","   453.0","   317.0","   283.0","   152.0","   453.0"
"Totaal kool en koolproducten","1963","   473.0","   316.0","   320.0","   161.0","   473.0"
"Totaal kool en koolproducten","1964","   427.0","   315.0","   289.0","   155.0","   427.0"
"Totaal kool en koolproducten","1965","   371.0","   314.0","   222.0","   157.0","   371.0"
"Totaal kool en koolproducten","1966","   338.0","   276.0","   207.0","   135.0","   338.0"
"Totaal kool en koolproducten","1967","   325.0","   221.0","   215.0","   137.0","   325.0"
"Totaal kool en koolproducten","1968","   308.0","   182.0","   232.0","   126.0","   308.0"
"Totaal kool en koolproducten","1969","   262.0","   152.0","   205.0","   102.0","   262.0"
"Totaal kool en koolproducten","1970","   192.0","   119.0","   168.0","    90.0","   192.0"
"Totaal kool en koolproducten","1971","   145.0","    99.0","   131.0","    82.0","   145.0"
"Totaal kool en koolproducten","1972","   124.0","    77.0","   121.0","    88.0","   124.0"
"Totaal kool en koolproducten","1973","   126.0","    47.0","   134.0","    72.0","   126.0"
"Totaal kool en koolproducten","1974","   120.0","    21.0","   149.0","    52.0","   120.0"
"Totaal kool en koolproducten","1975","   101.0","","   131.0","    21.0","   101.0"
"Totaal kool en koolproducten","1976","   126.0","","   149.0","    22.0","   126.0"
"Totaal kool en koolproducten","1977","   132.0","","   153.0","    22.0","   132.0"
