"Energiedragers","Perioden","Energieaanbod/Winning (PJ)","Energieaanbod/Invoer (PJ)","Energieaanbod/Uitvoer (PJ)","Energieaanbod/Invoersaldo (PJ)","Energieaanbod/Bunkering (PJ)","Totaal energieverbruik (PJ)"
"Totaal energiedragers","1946","       .","       .","       .","   151.0","    17.0","       ."
"Totaal energiedragers","1947","       .","       .","       .","   203.0","    34.0","       ."
"Totaal energiedragers","1948","       .","       .","       .","   185.0","    38.0","       ."
"Totaal energiedragers","1949","       .","       .","       .","   209.0","    48.0","       ."
"Totaal energiedragers","1950","       .","       .","       .","   271.0","    61.0","       ."
"Totaal energiedragers","1951","       .","       .","       .","   326.0","    81.0","       ."
"Totaal energiedragers","1952","       .","       .","       .","   317.0","    78.0","       ."
"Totaal energiedragers","1953","       .","       .","       .","   316.0","    75.0","       ."
"Totaal energiedragers","1954","       .","       .","       .","   384.0","   108.0","       ."
"Totaal energiedragers","1955","       .","       .","       .","   472.0","   118.0","       ."
"Totaal energiedragers","1956","       .","       .","       .","   549.0","   129.0","       ."
"Totaal energiedragers","1957","       .","       .","       .","   540.0","   120.0","       ."
"Totaal energiedragers","1958","       .","       .","       .","   520.0","   121.0","       ."
"Totaal energiedragers","1959","       .","       .","       .","   498.0","   115.0","       ."
"Totaal energiedragers","1960","       .","       .","       .","   584.0","   126.0","       ."
"Totaal energiedragers","1961","       .","       .","       .","   708.0","   170.0","       ."
"Totaal energiedragers","1962","       .","       .","       .","   780.0","   183.0","       ."
"Totaal energiedragers","1963","       .","       .","       .","   913.0","   188.0","       ."
"Totaal energiedragers","1964","       .","       .","       .","  1039.0","   214.0","       ."
"Totaal energiedragers","1965","       .","       .","       .","  1080.0","   243.0","       ."
"Totaal energiedragers","1966","       .","       .","       .","  1151.0","   244.0","       ."
"Totaal energiedragers","1967","       .","       .","       .","  1193.0","   259.0","       ."
"Totaal energiedragers","1968","       .","       .","       .","  1199.0","   319.0","       ."
"Totaal energiedragers","1969","       .","       .","       .","  1250.0","   392.0","       ."
"Totaal energiedragers","1970","  1225.0","       .","       .","  1255.0","   423.0","  2016.0"
"Totaal energiedragers","1971","  1584.0","       .","       .","   956.0","   442.0","  2144.0"
"Totaal energiedragers","1972","  2023.0","       .","       .","   903.0","   537.0","  2451.0"
"Totaal energiedragers","1973","  2401.0","       .","       .","   952.0","   567.0","  2617.0"
"Totaal energiedragers","1974","  2819.0","       .","       .","   135.0","   460.0","  2579.0"
"Totaal energiedragers","1975","  3023.0","  4681.0","  4754.0","   -73.0","   507.0","  2482.0"
"Totaal energiedragers","1976","  3232.0","  5316.0","  5277.0","    39.0","   544.0","  2718.0"
"Totaal energiedragers","1977","  3245.0","  5047.0","  5073.0","   -26.0","   522.0","  2695.0"
"Totaal energiedragers","1978","  2989.0","  5040.0","  4745.0","   295.0","   534.0","  2794.0"
"Totaal energiedragers","1979","  3126.0","  5967.0","  5621.0","   346.0","   464.0","  2924.0"
"Totaal energiedragers","1980","  3032.0","  5855.0","  5689.0","   166.0","   445.0","  2723.0"
"Totaal energiedragers","1981","  2821.0","  5243.0","  5211.0","    32.0","   421.0","  2575.0"
"Totaal energiedragers","1982","  2445.0","  5211.0","  4948.0","   263.0","   409.0","  2381.0"
"Totaal energiedragers","1983","  2634.0","  4951.0","  4850.0","   101.0","   387.0","  2422.0"
"Totaal energiedragers","1984","  2690.0","  5078.0","  4887.0","   191.0","   368.0","  2511.0"
"Totaal energiedragers","1985","  2834.0","  4930.0","  4751.0","   179.0","   419.0","  2558.0"
"Totaal energiedragers","1986","  2654.0","  5335.0","  4822.0","   513.0","   463.0","  2639.0"
"Totaal energiedragers","1987","  2639.0","  5138.0","  4648.0","   490.0","   459.0","  2703.0"
"Totaal energiedragers","1988","  2350.0","  5533.0","  4719.0","   814.0","   509.0","  2682.0"
"Totaal energiedragers","1989","  2522.0","  5824.0","  5102.0","   722.0","   498.0","  2691.0"
"Totaal energiedragers","1990","  2542.5","  5867.2","  5070.8","   796.0","   520.2","  2856.0"
"Totaal energiedragers","1991","  2832.2","  6153.6","  5504.1","   649.0","   534.8","  2961.5"
